end_date,value_sum,symbol
2020-07-17,80935747524.05899,TSLA_HISTORY
2020-07-17,52105594349.766,QQQ_HISTORY
2020-07-17,49574391648.714005,AAPL_HISTORY
2020-07-17,40903465285.123,AMZN_HISTORY
2020-07-17,32330665681.938,NFLX_HISTORY
2020-07-17,29507067529.242,BA_HISTORY
2020-07-17,24578864589.234,MSFT_HISTORY
2020-07-17,20528397233.761,MRNA_HISTORY
2020-07-17,18627167012.344,META_HISTORY
2020-07-17,14069245692.292,NVDA_HISTORY
2020-07-17,11040308990.18,AMD_HISTORY
2020-07-17,9846939511.978,JPM_HISTORY
2020-07-17,8505060336.219,UAL_HISTORY
2020-07-17,7121442202.846001,BAC_HISTORY
2020-07-17,7038607050.129,WFC_HISTORY
2020-07-17,5969209821.685,GOOG_HISTORY
2020-07-17,5516668651.23,C_HISTORY
2020-07-17,5482287509.6779995,DIS_HISTORY
2020-07-17,4966050781.792,GOOGL_HISTORY
2020-07-17,4896171118.217,GS_HISTORY
2020-07-17,4582137403.371,PYPL_HISTORY
2020-07-17,4414875057.532,V_HISTORY
2020-07-17,4301792159.783,WMT_HISTORY
2020-07-17,4270832473.561,ADBE_HISTORY
2020-07-17,4173177801.307,PFE_HISTORY
2020-07-17,4147793946.156,NCLH_HISTORY
2020-07-17,4109787022.793,CRM_HISTORY
2020-07-17,4046865739.137,DAL_HISTORY
2020-07-17,4009111698.4359994,T_HISTORY
2020-07-17,3908417235.6219997,INTC_HISTORY
2020-07-17,3878494326.625,RCL_HISTORY
2020-07-17,3872460632.586,UNH_HISTORY
2020-07-17,3789878726.8450003,JNJ_HISTORY
2020-07-17,3760480551.036,MA_HISTORY
2020-07-17,3650938949.2349997,MS_HISTORY
2020-07-17,3467152943.9309998,MU_HISTORY
2020-07-17,3185932027.1730003,XOM_HISTORY
2020-07-17,3164240186.943,CSCO_HISTORY
2020-07-17,3011672423.682,HD_HISTORY
2020-07-17,2971433010.159,ORCL_HISTORY
2020-07-17,2954955022.773,VZ_HISTORY
2020-07-17,2915923544.512,CCL_HISTORY
2020-07-17,2876277401.6530004,KO_HISTORY
2020-07-17,2798056410.946,F_HISTORY
2020-07-17,2791996387.307,CMCSA_HISTORY
2020-07-17,2594479657.096,ADI_HISTORY
2020-07-17,2365085953.4839997,CRWD_HISTORY
2020-07-17,2342480188.57,WYNN_HISTORY
2020-07-17,2337894527.2009997,UBER_HISTORY
2020-07-17,2320727068.553,PEP_HISTORY
2020-07-20,63556095150.378,TSLA_HISTORY
2020-07-20,46704068641.148,QQQ_HISTORY
2020-07-20,42020473002.132,AAPL_HISTORY
2020-07-20,40091695548.007,AMZN_HISTORY
2020-07-20,29511895728.878,NFLX_HISTORY
