date,symbol,stock_return,qqq_return,end_close
2020-07-17,CRM_HISTORY,-0.061099999999999995,-0.027879787154313114,187.78
2020-07-20,PYPL_HISTORY,0.058419650784255726,0.04182450111297684,178.82
2020-07-21,GOOG_HISTORY,0.02310924369747906,0.008865790278202359,77.92
2020-07-21,GOOGL_HISTORY,0.021533613445378158,0.008865790278202359,77.8
2020-07-21,CRM_HISTORY,-0.0012039993718263612,0.008865790278202359,190.8
2020-07-21,ADBE_HISTORY,0.021309854945863273,0.008865790278202359,444.28
2020-07-22,TSLA_HISTORY,0.07667342799188644,0.026979881381555913,106.16
2020-07-22,NVDA_HISTORY,0.041916167664670656,0.026979881381555913,10.44
2020-07-22,GOOG_HISTORY,0.04560000000000002,0.026979881381555913,78.42
2020-07-22,GOOGL_HISTORY,0.04208843899840166,0.026979881381555913,78.24
2020-07-22,INTC_HISTORY,0.04341138266962911,0.026979881381555913,61.05
2020-07-22,IBM_HISTORY,0.04788663571952098,0.026979881381555913,128.67
2020-07-22,PYPL_HISTORY,0.049035747883348864,0.026979881381555913,178.42
2020-07-22,NOW_HISTORY,0.061385377109070854,0.026979881381555913,441.6
2020-07-24,TSLA_HISTORY,-0.06751554634290793,-0.017530370598185463,94.47
2020-07-24,AAPL_HISTORY,-0.039514623522090876,-0.017530370598185463,92.61
2020-07-24,INTC_HISTORY,-0.15823627287853573,-0.017530370598185463,50.59
2020-07-24,GOOG_HISTORY,-0.002243928194297805,-0.017530370598185463,75.59
2020-07-24,GOOGL_HISTORY,-0.004488448844884534,-0.017530370598185463,75.41
2020-07-24,CRM_HISTORY,0.003139968068121359,-0.017530370598185463,188.49
2020-07-24,NOW_HISTORY,0.0004470588235294064,-0.017530370598185463,425.19
2020-07-27,TSLA_HISTORY,-0.06084728703449543,-0.030885585484892588,102.64
2020-07-27,AAPL_HISTORY,-0.04396490874256327,-0.030885585484892588,94.81
2020-07-27,MSFT_HISTORY,-0.04676174888940846,-0.030885585484892588,203.85
2020-07-27,META_HISTORY,-0.05166111607505482,-0.030885585484892588,233.5
