date,equity
2020-07-16,1000.0
2020-07-17,1000.0
2020-07-18,1000.0
2020-07-19,1000.0
2020-07-20,1000.0
2020-07-21,1000.0
2020-07-22,1018.798594099478
2020-07-23,1018.798594099478
2020-07-24,1018.798594099478
2020-07-25,1018.798594099478
2020-07-26,1018.798594099478
2020-07-27,1018.798594099478
2020-07-28,1061.5046640966616
2020-07-29,1061.5046640966616
2020-07-30,1061.5046640966616
2020-07-31,1061.5046640966616
2020-08-01,1061.5046640966616
2020-08-02,1061.5046640966616
2020-08-03,1127.3085824594953
2020-08-04,1127.3085824594953
2020-08-05,1127.3085824594953
2020-08-06,1183.7833754673425
2020-08-07,1183.7833754673425
2020-08-08,1183.7833754673425
2020-08-09,1183.7833754673425
2020-08-10,1183.7833754673425
2020-08-11,1183.7833754673425
2020-08-12,1183.7833754673425
2020-08-13,1183.7833754673425
2020-08-14,1183.7833754673425
2020-08-15,1183.7833754673425
2020-08-16,1183.7833754673425
2020-08-17,1183.7833754673425
2020-08-18,1183.7833754673425
2020-08-19,1221.008325648125
2020-08-20,1221.008325648125
2020-08-21,1221.008325648125
2020-08-22,1221.008325648125
2020-08-23,1221.008325648125
2020-08-24,1221.008325648125
2020-08-25,1221.008325648125
2020-08-26,1221.008325648125
2020-08-27,1227.8489572746462
2020-08-28,1227.8489572746462
2020-08-29,1227.8489572746462
2020-08-30,1227.8489572746462
2020-08-31,1227.8489572746462
2020-09-01,1227.8489572746462
2020-09-02,1227.8489572746462
2020-09-03,1227.8489572746462
2020-09-04,1227.8489572746462
2020-09-05,1227.8489572746462
2020-09-06,1227.8489572746462
2020-09-07,1227.8489572746462
2020-09-08,1227.8489572746462
2020-09-09,1227.8489572746462
2020-09-10,1194.5856757465936
2020-09-11,1194.5856757465936
2020-09-12,1194.5856757465936
2020-09-13,1194.5856757465936
2020-09-14,1194.5856757465936
2020-09-15,1207.7001489259856
2020-09-16,1207.7001489259856
2020-09-17,1207.7001489259856
2020-09-18,1207.7001489259856
2020-09-19,1207.7001489259856
2020-09-20,1207.7001489259856
2020-09-21,1192.9167918237947
2020-09-22,1192.9167918237947
2020-09-23,1192.9167918237947
2020-09-24,1146.0852870541808
2020-09-25,1146.0852870541808
2020-09-26,1146.0852870541808
2020-09-27,1146.0852870541808
2020-09-28,1146.0852870541808
2020-09-29,1146.0852870541808
2020-09-30,1146.0852870541808
2020-10-01,1165.9614076954317
2020-10-02,1165.9614076954317
2020-10-03,1165.9614076954317
2020-10-04,1165.9614076954317
2020-10-05,1165.9614076954317
2020-10-06,1165.9614076954317
2020-10-07,1165.9614076954317
2020-10-08,1165.9614076954317
2020-10-09,1165.9614076954317
2020-10-10,1165.9614076954317
2020-10-11,1165.9614076954317
2020-10-12,1245.7257072000687
2020-10-13,1245.7257072000687
2020-10-14,1245.7257072000687
2020-10-15,1242.4431625170646
2020-10-16,1242.4431625170646
2020-10-17,1242.4431625170646
2020-10-18,1242.4431625170646
2020-10-19,1217.539632982379
2020-10-20,1217.539632982379
2020-10-21,1217.539632982379
2020-10-22,1217.539632982379
2020-10-23,1217.539632982379
2020-10-24,1217.539632982379
2020-10-25,1217.539632982379
2020-10-26,1227.5414911738724
2020-10-27,1227.5414911738724
2020-10-28,1227.5414911738724
2020-10-29,1227.5414911738724
2020-10-30,1201.0280777815576
2020-10-31,1201.0280777815576
2020-11-01,1201.0280777815576
2020-11-02,1201.0280777815576
2020-11-03,1201.0280777815576
2020-11-04,1201.0280777815576
2020-11-05,1314.318029772353
2020-11-06,1314.318029772353
2020-11-07,1314.318029772353
2020-11-08,1314.318029772353
2020-11-09,1314.318029772353
2020-11-10,1314.318029772353
2020-11-11,1314.318029772353
2020-11-12,1336.4983299249218
2020-11-13,1336.4983299249218
2020-11-14,1336.4983299249218
2020-11-15,1336.4983299249218
2020-11-16,1336.4983299249218
2020-11-17,1336.4983299249218
2020-11-18,1336.4983299249218
2020-11-19,1336.4983299249218
2020-11-20,1336.4983299249218
2020-11-21,1336.4983299249218
2020-11-22,1336.4983299249218
2020-11-23,1336.4983299249218
2020-11-24,1336.4983299249218
2020-11-25,1336.4983299249218
2020-11-26,1336.4983299249218
2020-11-27,1336.4983299249218
2020-11-28,1336.4983299249218
2020-11-29,1336.4983299249218
2020-11-30,1357.231228305327
2020-12-01,1357.231228305327
2020-12-02,1357.231228305327
2020-12-03,1357.231228305327
2020-12-04,1357.231228305327
2020-12-05,1357.231228305327
2020-12-06,1357.231228305327
2020-12-07,1357.231228305327
