symbol,buy_date,buy_price,sell_date,sell_price,short_sell_date,short_sell_price,buy_to_cover_date,buy_to_cover_price
META_HISTORY,,,,,2020-08-27,293.22,2020-08-31,293.2
INTC_HISTORY,2020-08-27,49.4,2020-09-02,52.25,,,,
ADBE_HISTORY,,,,,2020-08-27,510.32,2020-08-28,516.44
DE_HISTORY,,,,,2020-08-27,209.83,2020-08-31,210.06
NOW_HISTORY,,,,,2020-08-27,480.55,2020-08-31,482.02
ADBE_HISTORY,,,,,2020-08-28,516.44,2020-08-31,513.39
AAPL_HISTORY,,,,,2020-09-01,134.18,2020-09-08,112.82
CRWD_HISTORY,,,,,2020-09-01,143.69,2020-09-03,129.25
NVDA_HISTORY,,,,,2020-09-02,14.35,2020-09-08,11.91
CRWD_HISTORY,,,,,2020-09-02,142.07,2020-09-04,125.19
QCOM_HISTORY,,,,,2020-09-02,123.18,2020-09-04,115.97
QCOM_HISTORY,,,,,2020-09-03,116.43,2020-09-08,109.77
CRM_HISTORY,2020-09-04,254.7,2020-09-10,247.8,,,,
NFLX_HISTORY,,,,,2020-09-04,516.05,2020-09-09,500.19
PYPL_HISTORY,2020-09-04,191.84,2020-09-10,190.09,,,,
QCOM_HISTORY,,,,,2020-09-04,115.97,2020-09-09,114.02
AAPL_HISTORY,2020-09-08,112.82,2020-09-10,113.49,,,,
NVDA_HISTORY,2020-09-08,11.91,2020-09-10,12.31,,,,
META_HISTORY,,,,,2020-09-08,271.16,2020-09-14,266.15
NFLX_HISTORY,,,,,2020-09-08,507.02,2020-09-10,480.67
GOOG_HISTORY,,,,,2020-09-08,76.62,2020-09-11,76.04
GOOGL_HISTORY,,,,,2020-09-08,76.18,2020-09-11,75.79
V_HISTORY,,,,,2020-09-08,200.12,2020-09-11,200.68
CSCO_HISTORY,,,,,2020-09-08,40.0,2020-09-10,39.57
ORCL_HISTORY,,,,,2020-09-08,55.32,2020-09-14,59.46
TSLA_HISTORY,2020-09-09,122.09,2020-09-15,149.92,,,,
AAPL_HISTORY,2020-09-09,117.32,2020-09-11,112.0,,,,
NVDA_HISTORY,2020-09-09,12.72,2020-09-10,12.31,,,,
MSFT_HISTORY,,,,,2020-09-09,211.29,2020-09-11,204.03
AMD_HISTORY,2020-09-09,81.91,2020-09-11,76.34,,,,
CRM_HISTORY,2020-09-09,250.43,2020-09-11,243.1,,,,
NFLX_HISTORY,2020-09-09,500.19,2020-09-11,482.03,,,,
MA_HISTORY,,,,,2020-09-09,339.64,2020-09-11,330.15
CSCO_HISTORY,,,,,2020-09-09,40.13,2020-09-11,39.88
