symbol,buy_date,buy_price,sell_date,sell_price
MSFT_HISTORY,2020-11-10,211.01,2020-11-11,216.55
NVDA_HISTORY,2020-11-10,12.77,2020-11-11,13.42
MSFT_HISTORY,2020-11-11,216.55,2020-11-12,215.44
MSFT_HISTORY,2020-11-12,215.44,2020-11-13,216.51
HD_HISTORY,2020-11-12,276.24,2020-11-18,269.83
GOOGL_HISTORY,2020-11-23,86.38,2020-11-30,87.72
BA_HISTORY,2020-12-11,230.33,2020-12-16,225.87
TSLA_HISTORY,2020-12-15,211.08,2020-12-21,216.62
HD_HISTORY,2020-12-16,269.59,2020-12-22,270.04
MSFT_HISTORY,2021-01-06,212.25,2021-01-12,214.93
META_HISTORY,2021-01-06,263.31,2021-01-12,251.09
CRM_HISTORY,2021-01-15,213.14,2021-01-22,225.77
ADBE_HISTORY,2021-01-25,473.44,2021-01-29,458.77
AMD_HISTORY,2021-01-29,85.64,2021-02-02,88.86
NFLX_HISTORY,2021-01-29,532.39,2021-02-04,552.16
F_HISTORY,2021-01-29,10.53,2021-02-04,11.37
MS_HISTORY,2021-01-29,67.05,2021-02-04,72.29
TSLA_HISTORY,2021-02-01,279.94,2021-02-04,283.33
AMD_HISTORY,2021-02-01,87.66,2021-02-03,87.89
V_HISTORY,2021-02-03,201.36,2021-02-05,208.77
TSLA_HISTORY,2021-02-22,238.17,2021-02-24,247.34
AAPL_HISTORY,2021-02-22,126.0,2021-02-25,120.99
AMD_HISTORY,2021-02-22,85.37,2021-02-24,86.94
PYPL_HISTORY,2021-02-22,273.85,2021-02-24,266.07
QCOM_HISTORY,2021-02-22,139.46,2021-02-24,141.1
MRNA_HISTORY,2021-02-22,159.37,2021-02-26,154.81
ADBE_HISTORY,2021-02-22,467.33,2021-02-24,476.62
TSLA_HISTORY,2021-02-23,232.95,2021-02-25,227.41
AMD_HISTORY,2021-02-23,84.74,2021-02-25,82.42
PYPL_HISTORY,2021-02-23,265.0,2021-02-25,253.94
QCOM_HISTORY,2021-02-23,137.12,2021-02-25,135.53
CRM_HISTORY,2021-02-23,235.64,2021-03-01,217.54
ADBE_HISTORY,2021-02-23,467.8,2021-02-25,459.16
TSLA_HISTORY,2021-02-24,247.34,2021-02-25,227.41
AAPL_HISTORY,2021-02-24,125.35,2021-02-26,121.26
MSFT_HISTORY,2021-02-24,234.55,2021-03-02,233.87
AMZN_HISTORY,2021-02-24,157.98,2021-02-26,154.65
PYPL_HISTORY,2021-02-24,266.07,2021-02-25,253.94
TSLA_HISTORY,2021-02-25,227.41,2021-02-26,225.17
AMZN_HISTORY,2021-02-25,152.86,2021-03-01,157.31
AMD_HISTORY,2021-02-25,82.42,2021-03-01,86.39
PYPL_HISTORY,2021-02-25,253.94,2021-02-26,259.85
UBER_HISTORY,2021-02-25,51.45,2021-03-01,54.4
ABNB_HISTORY,2021-02-25,182.06,2021-03-03,180.4
AAPL_HISTORY,2021-02-26,121.26,2021-03-02,125.12
UBER_HISTORY,2021-02-26,51.75,2021-03-02,54.65
AMD_HISTORY,2021-03-03,80.86,2021-03-04,77.75
QCOM_HISTORY,2021-03-03,131.66,2021-03-05,129.75
AMD_HISTORY,2021-03-04,77.75,2021-03-05,78.52
NVDA_HISTORY,2021-03-04,12.37,2021-03-08,11.59
PYPL_HISTORY,2021-03-04,239.07,2021-03-08,226.09
MU_HISTORY,2021-03-04,84.33,2021-03-09,89.3
QCOM_HISTORY,2021-03-04,127.8,2021-03-08,123.2
TSLA_HISTORY,2021-03-05,199.32,2021-03-09,224.53
AMD_HISTORY,2021-03-05,78.52,2021-03-08,73.96
NVDA_HISTORY,2021-03-05,12.46,2021-03-09,12.52
PYPL_HISTORY,2021-03-05,239.05,2021-03-09,241.76
TGT_HISTORY,2021-03-05,172.61,2021-03-11,179.32
QCOM_HISTORY,2021-03-05,129.75,2021-03-08,123.2
NFLX_HISTORY,2021-03-05,516.39,2021-03-09,506.44
COST_HISTORY,2021-03-05,317.32,2021-03-11,328.65
ADBE_HISTORY,2021-03-05,440.83,2021-03-09,439.18
TSLA_HISTORY,2021-03-08,187.67,2021-03-10,222.69
AAPL_HISTORY,2021-03-08,116.36,2021-03-10,119.98
AMD_HISTORY,2021-03-08,73.96,2021-03-09,78.53
NVDA_HISTORY,2021-03-08,11.59,2021-03-10,12.47
PYPL_HISTORY,2021-03-08,226.09,2021-03-10,242.07
MU_HISTORY,2021-03-08,85.05,2021-03-10,85.41
QCOM_HISTORY,2021-03-08,123.2,2021-03-09,129.11
NFLX_HISTORY,2021-03-08,493.33,2021-03-10,504.54
ADBE_HISTORY,2021-03-08,421.2,2021-03-10,437.01
QCOM_HISTORY,2021-03-12,129.98,2021-03-17,133.92
ADBE_HISTORY,2021-03-12,444.3,2021-03-17,451.01
AAPL_HISTORY,2021-03-22,123.39,2021-03-26,121.21
INTC_HISTORY,2021-03-24,62.04,2021-03-26,64.87
NVDA_HISTORY,2021-03-24,12.64,2021-03-26,12.84
INTC_HISTORY,2021-03-25,62.02,2021-03-29,64.5
NVDA_HISTORY,2021-03-25,12.54,2021-03-29,12.95
PYPL_HISTORY,2021-03-25,234.24,2021-03-30,236.54
QCOM_HISTORY,2021-03-25,127.28,2021-03-31,132.59
NVDA_HISTORY,2021-03-26,12.84,2021-03-29,12.95
INTC_HISTORY,2021-03-29,64.5,2021-03-30,63.77
NVDA_HISTORY,2021-03-29,12.95,2021-03-30,12.87
PYPL_HISTORY,2021-03-29,235.67,2021-03-31,242.84
NKE_HISTORY,2021-03-29,133.49,2021-03-31,132.89
INTC_HISTORY,2021-03-30,63.77,2021-03-31,64.0
PYPL_HISTORY,2021-03-30,236.54,2021-03-31,242.84
NKE_HISTORY,2021-03-30,132.95,2021-04-01,132.53
AAPL_HISTORY,2021-04-05,125.9,2021-04-08,130.36
BA_HISTORY,2021-04-05,259.36,2021-04-09,252.36
INTC_HISTORY,2021-04-05,66.54,2021-04-06,65.56
INTC_HISTORY,2021-04-06,65.56,2021-04-07,66.25
HD_HISTORY,2021-04-06,313.78,2021-04-08,314.43
INTC_HISTORY,2021-04-07,66.25,2021-04-09,68.26
INTC_HISTORY,2021-04-20,62.7,2021-04-26,58.76
UBER_HISTORY,2021-04-20,55.48,2021-04-22,56.28
NKE_HISTORY,2021-04-20,127.11,2021-04-26,131.6
QCOM_HISTORY,2021-04-20,133.4,2021-04-23,135.43
NVDA_HISTORY,2021-04-22,14.85,2021-04-27,15.38
AMD_HISTORY,2021-04-22,79.06,2021-04-26,85.41
BA_HISTORY,2021-04-22,234.33,2021-04-27,242.47
C_HISTORY,2021-04-22,69.81,2021-04-27,72.99
UAL_HISTORY,2021-04-22,51.03,2021-04-28,53.55
XOM_HISTORY,2021-04-22,55.27,2021-04-28,58.11
GM_HISTORY,2021-04-22,56.66,2021-04-26,58.21
QCOM_HISTORY,2021-04-22,132.97,2021-04-26,138.96
GM_HISTORY,2021-04-23,57.53,2021-04-27,58.97
UBER_HISTORY,2021-04-30,54.77,2021-05-04,52.99
PYPL_HISTORY,2021-04-30,262.29,2021-05-03,259.09
AMAT_HISTORY,2021-04-30,132.71,2021-05-04,128.72
UBER_HISTORY,2021-05-03,54.85,2021-05-05,51.18
PYPL_HISTORY,2021-05-03,259.09,2021-05-04,250.16
AAPL_HISTORY,2021-05-04,127.85,2021-05-06,129.74
NVDA_HISTORY,2021-05-04,14.35,2021-05-10,14.27
PYPL_HISTORY,2021-05-04,250.16,2021-05-05,247.4
AMAT_HISTORY,2021-05-04,128.72,2021-05-06,131.73
PLTR_HISTORY,2021-05-04,21.64,2021-05-06,20.09
CRM_HISTORY,2021-05-04,217.18,2021-05-06,218.05
AAPL_HISTORY,2021-05-05,128.1,2021-05-07,130.21
NOW_HISTORY,2021-05-05,479.97,2021-05-11,481.5
PYPL_HISTORY,2021-05-05,247.4,2021-05-06,252.02
MA_HISTORY,2021-05-05,369.14,2021-05-11,367.61
PLTR_HISTORY,2021-05-05,21.15,2021-05-07,19.75
CRM_HISTORY,2021-05-05,215.4,2021-05-07,216.5
AMZN_HISTORY,2021-05-06,165.32,2021-05-12,157.6
CRM_HISTORY,2021-05-06,218.05,2021-05-10,213.89
MU_HISTORY,2021-05-11,80.68,2021-05-13,77.19
INTC_HISTORY,2021-05-11,55.04,2021-05-13,54.01
QCOM_HISTORY,2021-05-11,128.37,2021-05-13,127.11
AMAT_HISTORY,2021-05-11,123.55,2021-05-13,119.92
NVDA_HISTORY,2021-05-12,13.76,2021-05-14,14.24
MU_HISTORY,2021-05-12,76.8,2021-05-14,79.7
GOOG_HISTORY,2021-05-12,111.95,2021-05-18,115.17
INTC_HISTORY,2021-05-12,53.62,2021-05-14,55.35
AMAT_HISTORY,2021-05-12,114.88,2021-05-14,124.83
QCOM_HISTORY,2021-05-12,124.62,2021-05-14,130.15
TSLA_HISTORY,2021-05-13,190.56,2021-05-19,187.82
AMD_HISTORY,2021-05-13,73.09,2021-05-19,76.23
NVDA_HISTORY,2021-05-13,13.67,2021-05-17,14.17
MU_HISTORY,2021-05-13,77.19,2021-05-14,79.7
UBER_HISTORY,2021-05-13,44.48,2021-05-19,49.47
MRNA_HISTORY,2021-05-13,149.87,2021-05-19,157.99
ABNB_HISTORY,2021-05-13,135.75,2021-05-19,138.19
MU_HISTORY,2021-05-14,79.7,2021-05-17,80.39
QCOM_HISTORY,2021-05-14,130.15,2021-05-18,128.91
LRCX_HISTORY,2021-05-14,60.3,2021-05-20,62.67
BA_HISTORY,2021-05-20,227.65,2021-05-25,240.74
V_HISTORY,2021-05-25,229.02,2021-06-01,226.63
NFLX_HISTORY,2021-05-25,501.34,2021-06-01,499.08
NFLX_HISTORY,2021-06-03,489.43,2021-06-09,485.81
DIS_HISTORY,2021-06-14,178.18,2021-06-18,172.42
AMZN_HISTORY,2021-07-19,177.48,2021-07-21,179.26
AMD_HISTORY,2021-07-19,86.58,2021-07-21,89.41
INTC_HISTORY,2021-07-19,54.64,2021-07-21,56.23
AMAT_HISTORY,2021-07-19,128.62,2021-07-21,138.0
NVDA_HISTORY,2021-07-20,18.61,2021-07-22,19.59
AMZN_HISTORY,2021-07-20,178.66,2021-07-22,181.9
META_HISTORY,2021-07-20,341.66,2021-07-23,369.79
AMD_HISTORY,2021-07-20,87.11,2021-07-22,91.21
XOM_HISTORY,2021-07-20,55.96,2021-07-26,58.48
MU_HISTORY,2021-07-20,75.39,2021-07-22,75.53
CCL_HISTORY,2021-07-20,21.19,2021-07-22,22.71
CVX_HISTORY,2021-07-20,96.53,2021-07-26,100.95
INTC_HISTORY,2021-07-20,55.24,2021-07-22,55.96
F_HISTORY,2021-07-20,13.91,2021-07-26,14.03
GM_HISTORY,2021-07-20,56.15,2021-07-26,55.77
QCOM_HISTORY,2021-07-20,139.55,2021-07-26,143.5
AMAT_HISTORY,2021-07-20,131.97,2021-07-22,137.18
ABNB_HISTORY,2021-07-20,136.09,2021-07-26,142.0
FCX_HISTORY,2021-07-20,32.95,2021-07-22,34.8
NVDA_HISTORY,2021-07-21,19.41,2021-07-23,19.56
MU_HISTORY,2021-07-21,77.19,2021-07-23,75.94
CSCO_HISTORY,2021-07-23,55.23,2021-07-29,55.07
META_HISTORY,2021-08-19,355.12,2021-08-25,368.39
JPM_HISTORY,2021-08-19,154.28,2021-08-25,160.92
COIN_HISTORY,2021-08-19,248.24,2021-08-25,256.77
MS_HISTORY,2021-08-19,99.73,2021-08-25,104.09
DIS_HISTORY,2021-08-25,178.31,2021-08-31,181.3
AAPL_HISTORY,2021-09-14,148.12,2021-09-17,146.06
UBER_HISTORY,2021-09-14,39.01,2021-09-20,39.79
MRK_HISTORY,2021-09-14,72.11,2021-09-20,71.93
JNJ_HISTORY,2021-09-14,164.8,2021-09-20,163.81
PFE_HISTORY,2021-09-15,44.77,2021-09-21,43.92
V_HISTORY,2021-09-15,223.81,2021-09-17,221.75
V_HISTORY,2021-09-16,224.33,2021-09-20,220.05
LVS_HISTORY,2021-09-16,37.52,2021-09-22,36.12
AAPL_HISTORY,2021-09-17,146.06,2021-09-21,143.43
AAPL_HISTORY,2021-09-20,142.94,2021-09-22,145.85
JPM_HISTORY,2021-09-20,152.96,2021-09-24,163.04
PYPL_HISTORY,2021-09-22,272.34,2021-09-28,262.19
QCOM_HISTORY,2021-09-23,133.91,2021-09-29,129.28
MSFT_HISTORY,2021-09-28,283.52,2021-09-30,281.92
NVDA_HISTORY,2021-09-28,20.7,2021-09-30,20.72
ADBE_HISTORY,2021-09-28,578.77,2021-09-30,575.72
MSFT_HISTORY,2021-09-29,284.0,2021-10-01,289.1
NVDA_HISTORY,2021-09-29,20.52,2021-10-01,20.74
MRNA_HISTORY,2021-09-29,378.9,2021-10-01,341.09
GOOGL_HISTORY,2021-09-29,134.35,2021-10-01,136.54
GOOG_HISTORY,2021-09-29,134.52,2021-10-01,136.46
ADBE_HISTORY,2021-09-29,577.7,2021-10-01,577.47
MSFT_HISTORY,2021-09-30,281.92,2021-10-04,283.11
NVDA_HISTORY,2021-09-30,20.72,2021-10-01,20.74
MRNA_HISTORY,2021-09-30,384.86,2021-10-04,325.84
GOOGL_HISTORY,2021-09-30,133.68,2021-10-04,133.66
GOOG_HISTORY,2021-09-30,133.27,2021-10-04,133.77
PLTR_HISTORY,2021-09-30,24.04,2021-10-04,23.17
ADBE_HISTORY,2021-09-30,575.72,2021-10-01,577.47
PYPL_HISTORY,2021-09-30,260.21,2021-10-06,264.06
AMAT_HISTORY,2021-09-30,128.73,2021-10-04,125.2
NVDA_HISTORY,2021-10-01,20.74,2021-10-04,19.73
PLTR_HISTORY,2021-10-01,24.33,2021-10-05,23.21
ADBE_HISTORY,2021-10-01,577.47,2021-10-04,558.49
MS_HISTORY,2021-10-01,99.05,2021-10-05,99.2
AMAT_HISTORY,2021-10-01,129.13,2021-10-05,128.07
META_HISTORY,2021-10-04,326.23,2021-10-06,333.64
AMZN_HISTORY,2021-10-04,159.49,2021-10-06,163.1
NVDA_HISTORY,2021-10-04,19.73,2021-10-05,20.45
PLTR_HISTORY,2021-10-04,23.17,2021-10-06,23.58
ADBE_HISTORY,2021-10-04,558.49,2021-10-05,566.7
AMAT_HISTORY,2021-10-04,125.2,2021-10-06,126.52
MS_HISTORY,2021-10-04,97.15,2021-10-06,99.1
META_HISTORY,2021-10-05,332.96,2021-10-07,329.22
AMZN_HISTORY,2021-10-05,161.05,2021-10-07,165.12
NVDA_HISTORY,2021-10-05,20.45,2021-10-06,20.7
ADBE_HISTORY,2021-10-05,566.7,2021-10-06,570.31
QCOM_HISTORY,2021-10-05,127.53,2021-10-11,124.94
GOOGL_HISTORY,2021-10-18,142.78,2021-10-22,137.57
GOOG_HISTORY,2021-10-18,142.96,2021-10-21,142.78
GOOG_HISTORY,2021-10-20,142.42,2021-10-22,138.63
CRM_HISTORY,2021-11-04,308.04,2021-11-08,309.96
CRM_HISTORY,2021-11-05,307.25,2021-11-09,309.71
UBER_HISTORY,2021-11-10,43.38,2021-11-12,45.12
AMAT_HISTORY,2021-11-26,143.29,2021-12-02,146.49
AMD_HISTORY,2021-12-02,150.68,2021-12-06,139.06
NVDA_HISTORY,2021-12-03,30.69,2021-12-09,30.49
AMD_HISTORY,2021-12-03,144.01,2021-12-07,144.85
NFLX_HISTORY,2021-12-03,602.13,2021-12-07,625.58
COIN_HISTORY,2021-12-03,265.65,2021-12-09,263.91
META_HISTORY,2021-12-06,317.87,2021-12-08,330.56
NFLX_HISTORY,2021-12-06,612.69,2021-12-08,628.08
CRWD_HISTORY,2021-12-06,194.71,2021-12-10,198.6
PLTR_HISTORY,2021-12-06,18.8,2021-12-10,18.94
META_HISTORY,2021-12-07,322.81,2021-12-09,329.82
CRM_HISTORY,2021-12-07,266.99,2021-12-13,265.76
AMZN_HISTORY,2021-12-08,176.16,2021-12-14,169.09
TSLA_HISTORY,2021-12-17,310.86,2021-12-21,312.84
QCOM_HISTORY,2021-12-17,176.8,2021-12-22,181.38
ORCL_HISTORY,2021-12-17,96.62,2021-12-23,89.72
AAPL_HISTORY,2021-12-20,169.75,2021-12-22,175.64
TSLA_HISTORY,2021-12-20,299.98,2021-12-22,336.29
HD_HISTORY,2021-12-20,389.4,2021-12-27,404.09
GM_HISTORY,2021-12-20,54.04,2021-12-27,57.43
AAPL_HISTORY,2021-12-21,172.99,2021-12-23,176.28
TSLA_HISTORY,2021-12-21,312.84,2021-12-22,336.29
QCOM_HISTORY,2021-12-21,179.58,2021-12-23,182.74
AAPL_HISTORY,2021-12-22,175.64,2021-12-27,180.33
NVDA_HISTORY,2021-12-22,29.4,2021-12-27,30.95
AMD_HISTORY,2021-12-22,143.88,2021-12-27,154.36
QCOM_HISTORY,2021-12-22,181.38,2021-12-27,186.33
AMZN_HISTORY,2021-12-23,171.07,2021-12-28,170.66
INTC_HISTORY,2021-12-23,51.31,2021-12-28,51.76
MDT_HISTORY,2021-12-23,102.9,2021-12-28,104.53
C_HISTORY,2021-12-27,60.65,2021-12-29,60.54
JPM_HISTORY,2021-12-27,158.16,2021-12-31,158.35
INTC_HISTORY,2021-12-27,51.94,2021-12-29,51.83
DIS_HISTORY,2021-12-27,152.8,2021-12-31,154.89
XOM_HISTORY,2021-12-27,61.89,2021-12-29,61.15
WFC_HISTORY,2021-12-27,48.77,2021-12-29,48.45
GOOG_HISTORY,2021-12-27,148.06,2021-12-31,144.68
PG_HISTORY,2021-12-27,161.97,2021-12-29,164.19
CMCSA_HISTORY,2021-12-27,50.47,2021-12-31,50.33
MDT_HISTORY,2021-12-27,104.43,2021-12-29,103.95
HD_HISTORY,2021-12-27,404.09,2021-12-30,409.94
GOOGL_HISTORY,2021-12-28,146.69,2022-01-03,144.99
C_HISTORY,2021-12-28,60.62,2021-12-30,60.43
ADBE_HISTORY,2021-12-28,569.36,2022-01-03,564.37
XOM_HISTORY,2021-12-28,61.69,2021-12-30,60.79
AVGO_HISTORY,2021-12-28,66.9,2021-12-30,66.51
WFC_HISTORY,2021-12-28,48.42,2021-12-30,48.1
QCOM_HISTORY,2021-12-28,184.82,2021-12-30,182.73
PG_HISTORY,2021-12-28,162.84,2021-12-30,162.77
CVX_HISTORY,2021-12-29,117.95,2022-01-04,121.43
NVDA_HISTORY,2022-01-03,30.12,2022-01-05,27.6
AMD_HISTORY,2022-01-03,150.24,2022-01-05,136.15
CRM_HISTORY,2022-01-04,248.23,2022-01-06,229.15
NVDA_HISTORY,2022-01-05,27.6,2022-01-07,27.25
AMD_HISTORY,2022-01-05,136.15,2022-01-07,132.0
